postcode_district,population
PE34,"14,384"
PE36,"6,529"
PE37,"10,224"
PE38,"14,809"
PE4,"28,361"
PE5,"1,589"
PE6,"35,553"
PE7,"42,311"
PE8,"17,500"
PE9,"31,189"
PL1,"22,698"
PL10,"3,656"
PL11,"10,359"
PL12,"21,787"
PL13,"9,438"
PL14,"22,966"
PL15,"19,907"
PL16,"1,753"
PL17,"10,022"
PL18,"4,810"
PL19,"16,423"
PL2,"31,458"
PL20,"12,081"
PL21,"17,389"
PL22,"3,695"
PL23,"3,519"
PL24,"10,156"
PL25,"25,551"
PL26,"26,673"
PL27,"12,227"
PL28,"4,434"
PL29,"1,029"
PL3,"30,951"
PL30,"10,557"
PL31,"14,736"
PL32,"4,326"
PL33,"1,647"
PL34,"1,782"
PL35,940
PL4,"36,464"
PL5,"42,916"
PL6,"41,200"
PL7,"31,474"
PL8,"5,734"
PL9,"27,961"
PO1,"28,841"
PO10,"18,360"
PO11,"17,379"
PO12,"47,846"
PO13,"34,776"
PO14,"32,177"
PO15,"22,884"
PO16,"32,656"
PO17,"6,527"
PO18,"13,017"
PO19,"30,245"
PO2,"42,043"
PO20,"32,121"
PO21,"40,302"
PO22,"28,350"
PO3,"19,286"
PO30,"30,309"
PO31,"14,398"
PO32,"8,101"
PO33,"31,007"
PO34,"2,083"
PO35,"3,688"
PO36,"16,958"
PO37,"9,072"
PO38,"12,547"
PO39,"2,645"
PO4,"44,069"
PO40,"5,436"
PO41,"2,021"
PO5,"29,923"
PO6,"40,563"
PO7,"40,172"
PO8,"33,840"
PO9,"48,689"
PR1,"71,549"
PR2,"79,208"
PR25,"30,781"
PR26,"15,588"
PR3,"37,971"
PR4,"57,595"
PR5,"41,203"
PR6,"34,691"
PR7,"55,452"
PR8,"53,618"
PR9,"42,900"
RG1,"42,332"
RG10,"18,256"
RG12,"51,883"
RG14,"37,838"
RG17,"15,094"
RG18,"19,056"
RG19,"17,656"
RG2,"37,616"
RG20,"18,884"
RG21,"26,927"
RG22,"41,762"
RG23,"12,269"
RG24,"31,256"
RG25,"8,705"
RG26,"22,133"
RG27,"21,026"
RG28,"5,786"
RG29,"7,143"
